id,text
9435856,"<h1>How to Offer Free Shipping on a Full-Priced Product from a Specific Landing Page</h1> <p class=""no-margin"">To offer free shipping on a full-priced product from a specific landing page, you can follow these steps:</p>
<p class=""no-margin""></p>
<ol>
<li>
<p class=""no-margin""><b>Create a Landing Page</b>:</p>
</li>
<li>
<p class=""no-margin"">You can create a landing page using Zipify Pages by either using pre-built templates or starting with a blank page and adding sections as needed.</p>
</li>
<li>
<p class=""no-margin""><b>Add a Buy Box Block</b>:</p>
</li>
<li>
<p class=""no-margin"">Use a Buy Box block on the landing page that is connected to your product inventory. This is typically how you sell products on pages built using the Zipify Pages app.</p>
</li>
<li>
<p class=""no-margin""><b>Set Button Destination</b>:</p>
</li>
<li>
<p class=""no-margin"">If you are using a non-Buy Box block, you can set the ""button destination"" to a URL and use a Cart or Checkout permalink to mimic an ""Add To Cart"" or ""Add To Checkout"" button. You can find more information on how to set this up in <a href=""https://help.shopify.com/en/manual/products/details/cart-permalink"" target=""_blank"" class=""intercom-content-link"">this Shopify article</a>.</p>
</li>
<li>
<p class=""no-margin""><b>Offer Free Shipping</b>:</p>
</li>
<li>
<p class=""no-margin"">To offer free shipping on a full-priced product, you can create a specific discount code in Shopify that provides free shipping. You can then append the product's checkout URL with <code>?discount=YourDiscountCode</code> where ""YourDiscountCode"" is the code you created for free shipping. This will automatically apply the discount at checkout.</p>
</li>
<li>
<p class=""no-margin""><b>Publish the Landing Page</b>:</p>
</li>
<li>
<p class=""no-margin"">Once you have set up the Buy Box block and added the necessary links and discount codes, publish the landing page using Zipify Pages.</p>
</li>
</ol><p class=""no-margin"">By following these steps, you can offer free shipping on a full-priced product from a specific landing page created with Zipify Pages.</p>"
9435871,"<h1>How to Embed Big Shop Pay Buttons on Zipify Pages</h1> <p class=""no-margin"">To embed Shop Pay buttons on Zipify Pages, follow these steps:</p>
<p class=""no-margin""></p>
<ol>
<li>
<p class=""no-margin"">Add a Dynamic Checkout Element underneath the Add to Cart button.</p>
</li>
<li>
<p class=""no-margin"">Delete the Add to Cart button to display only the Shop Pay button.</p>
</li>
</ol><p class=""no-margin"">The type of checkout button displayed to customers depends on payment settings, Shop Promise activation, customer's browser, device, and payment history.</p>"
943587701,"<h1>How to Customize Product Pages in Zipify and Shopify</h1> <p class=""no-margin"">To customize Product Pages in Zipify and Shopify, you have two options:</p>
<p class=""no-margin""></p>
"
943587702,"<h1>How to Customize Product Pages in Zipify and Shopify</h1> <h1 id=""h_f50fcf5cd0"">Full Customization:</h1>
<ol>
<li>
<p class=""no-margin"">Allows complete replacement of the default Product Page content with Zipify Pages sections.</p>
</li>
<li>
<p class=""no-margin"">No section from your Theme is required to be used.</p>
</li>
<li>
<p class=""no-margin"">Can enable the ""Theme Header/Footer"" option if desired to use your Theme's header and footer.</p>
</li>
<li>
<p class=""no-margin"">Creates a new/separate product.liquid Template file for each new product page published using this approach.</p>
</li>
<li>
<p class=""no-margin"">Recommended if your product page doesn't heavily rely on additional customization from 3rd party apps.</p>
</li>
</ol><p class=""no-margin"">For more details on Full Customization, <a class=""intercom-content-link"" href=""https://help.zipify.com/en/articles/4196323-4-zipify-pages-creating-a-new-product-page-layout"" target=""_blank"">click here</a>.</p>
<p class=""no-margin""></p>
"
943587703,"<h1>How to Customize Product Pages in Zipify and Shopify</h1> <h1 id=""h_8557bbe4fe"">Partial Customization:</h1>
<ol>
<li>
<p class=""no-margin"">Allows customization of Product Pages by adding Zipify Pages sections into your existing product page layout structure.</p>
</li>
<li>
<p class=""no-margin"">Your Theme's Header, Footer, and Buy Box section are required to be used.</p>
</li>
<li>
<p class=""no-margin"">Re-uses your default product.liquid Template file assigned to the particular product at the time you created the new layout in the Zipify Pages app.</p>
</li>
<li>
<p class=""no-margin"">Recommended if your Product Page heavily integrates with other 3rd party apps for additional customization.</p>
</li>
</ol><p class=""no-margin"">Remember, when you publish a ""Product Page"" in Zipify Pages, you're actually publishing a Shopify Product Page Template for the selected product(s). Products are created and published in the ""Products"" section of your Shopify admin.</p>"
9435820,"<h1>How to Pass UTM Parameters in Zipify Pages Opt-in Forms</h1> <p class=""no-margin"">To pass UTM parameters in Zipify Pages opt-in forms, you can follow these steps:</p>
<p class=""no-margin""></p>
<ol>
<li>
<p class=""no-margin""><b>Enable UTM Parameters Tracking</b>:</p>
</li>
<li>
<p class=""no-margin"">In the CRM Settings of the opt-in form, you can enable UTM parameters tracking.</p>
</li>
<li>
<p class=""no-margin"">The UTM parameters that will be passed to the CRM profile as custom properties are:</p>
<p class=""no-margin""></p>
<ul>
<li>
<p class=""no-margin"">UTM Campaign (ZP)</p>
</li>
<li>
<p class=""no-margin"">UTM Content (ZP)</p>
</li>
<li>
<p class=""no-margin"">UTM Medium (ZP)</p>
</li>
<li>
<p class=""no-margin"">UTM Source (ZP)</p>
</li>
<li>
<p class=""no-margin"">UTM Term (ZP)</p>
</li>
</ul>
</li>
<li>
<p class=""no-margin""><b>Configure the UTM Parameters</b>:</p>
</li>
<li>
<p class=""no-margin"">You can configure the UTM parameters in the CRM Settings section of the opt-in form.</p>
</li>
<li>
<p class=""no-margin"">Make sure to enable the UTM parameters tracking to pass the necessary information to your CRM system.</p>
</li>
</ol><p class=""no-margin"">Here is an image showing the UTM parameters tracking settings in Zipify Pages opt-in forms:</p>
<p class=""no-margin""></p>
<div class=""intercom-container""><img src=""https://downloads.intercomcdn.com/i/o/582945304/4d0a902c105b2bf5db5ccf61/image.png?expires=1719475200&amp;signature=baeb3de542378d6bb9605facbb44d4f0b4fd3d36ce1692369fee754916b0600b"" alt=""Image""></div><p class=""no-margin"">By following these steps, you can effectively pass UTM parameters in Zipify Pages opt-in forms.</p>"
9435888,"<h1>How to Disable or Hide QA Section on Zipify Page</h1> <p class=""no-margin"">The customer contacted us for assistance with disabling/hiding the QA section on their Zipify page for a product. They mentioned that [PERSON] reviews are already being pulled in. Unfortunately, the assistant was unable to view the provided link and suggested contacting [PERSON] support for further assistance. The customer also has an open ticket with [PERSON] . The assistant mentioned that they are unable to edit plugins on Zipify and advised reaching out to [PERSON] support for more help.</p>"
9435909,"<h1>How to set up variant images for post-purchase upsell</h1> <p class=""no-margin"">To set up variant images for post-purchase upsell, you can follow these steps:</p>
<p class=""no-margin""></p>
<ol>
<li>
<p class=""no-margin"">Set the ""Default product image"" setting from the dropdown:</p>
</li>
<li>
<p class=""no-margin"">Shopify Variant Image: The image for the product’s first variant is displayed.</p>
</li>
<li>
<p class=""no-margin"">Shopify Product Image: Your main corresponding Shopify product image is displayed.</p>
</li>
<li>
<p class=""no-margin"">Custom: The custom image you select will be displayed as the product image. 📝 All image options support variant image switching on the published page.</p>
</li>
<li>
<p class=""no-margin"">If the ""Custom"" image option is chosen, you can:</p>
</li>
<li>
<p class=""no-margin"">Crop Image.</p>
</li>
<li>
<p class=""no-margin"">Change Image: When selecting a new image, the default product image setting will automatically change to ""Custom"".</p>
</li>
<li>
<p class=""no-margin"">Enter Alt Text for the image.</p>
</li>
<li>
<p class=""no-margin"">Set a Destination for the image to make it clickable:</p>
</li>
<li>
<p class=""no-margin"">If the ""Inherit from Button"" box is checked, the image will inherit the same destination as the Product Button element within the same section.</p>
</li>
<li>
<p class=""no-margin"">If the ""Inherit from Button"" box is not checked, select a destination option from the dropdown:</p>
<p class=""no-margin""></p>
<ul>
<li>
<p class=""no-margin"">None: The image will have no destination and not be clickable.</p>
</li>
<li>
<p class=""no-margin"">Cart: The image will redirect to the Cart Page (/cart) on your store when clicked. No product will be added to the cart.</p>
</li>
<li>
<p class=""no-margin"">Product: The image will redirect to a specific chosen Product page (/products) when clicked.</p>
</li>
</ul>
</li>
<li>
<p class=""no-margin"">Set a Hover State option for the image from the dropdown:</p>
</li>
<li>
<p class=""no-margin"">None (default)</p>
</li>
<li>
<p class=""no-margin"">Hover Image: Show an alternate image when hovered over</p>
</li>
<li>
<p class=""no-margin"">Color Overlay: Show a color overlay when hovered over</p>
</li>
<li>
<p class=""no-margin"">Change Opacity: Change the opacity of the image when hovered over</p>
</li>
<li>
<p class=""no-margin"">Optionally, you can enable a Badge for the image to add an additional visual cue or call-to-action overlay on top of the image.</p>
</li>
</ol><p class=""no-margin"">Remember to save your settings and preview the changes to ensure everything is set up correctly.</p>"
9435861,"<h1>How does partial customization of a PDP work versus the fully customized PDP through Zipify?</h1> <p class=""no-margin"">Partial customization replaces the default Product Page content with Zipify Pages Sections, without using Theme sections. Full customization integrates Zipify Pages sections into the existing Theme layout. See examples <a href=""https://help.zipify.com/en/articles/4196323-creating-a-new-product-page-zipify-pages"" target=""_blank"" class=""intercom-content-link"">here</a>.</p>"
9435866,"<h1>Integrating a Product Page into a Website</h1> <p class=""no-margin"">To integrate a Product Page into a website using Zipify Pages, you have two options:</p>
<p class=""no-margin""></p>
<ol>
<li>
<p class=""no-margin""><b>Option 1 - Full Customization:</b></p>
</li>
<li>
<p class=""no-margin"">This option allows you to completely replace the default Product Page content with Zipify Pages Sections.</p>
</li>
<li>
<p class=""no-margin"">No section from your Theme is required to be used.</p>
</li>
<li>
<p class=""no-margin"">You can enable the ""Theme Header/Footer"" option if desired to use your Theme's header and footer for the new layout.</p>
</li>
<li>
<p class=""no-margin"">This product page type can be assigned to one or multiple products (Advanced plan only).</p>
</li>
<li>
<p class=""no-margin"">Recommended if your product page doesn't heavily rely on additional customization from 3rd party apps.</p>
</li>
<li>
<p class=""no-margin"">Provides greater control and flexibility over the product page design.</p>
</li>
<li>
<p class=""no-margin""><a href=""https://help.zipify.com/en/articles/7203805-zipify-pages-managing-your-subscription-plan-pricing#h_7eeca86e24"" target=""_blank"" class=""intercom-content-link"">Learn more about the Advanced plan here</a></p>
</li>
<li>
<p class=""no-margin""><b>Option 2 - Partial Customization:</b></p>
</li>
<li>
<p class=""no-margin"">This option allows you to customize Product Pages by adding different Zipify Pages sections into your Theme's existing product page layout structure.</p>
</li>
<li>
<p class=""no-margin"">Your Theme's Header, Footer, and Buy Box section are required to be used.</p>
</li>
<li>
<p class=""no-margin"">This product page type can only be assigned to one product at a time.</p>
</li>
<li>
<p class=""no-margin"">Recommended if your Product Page integrates heavily with other 3rd party apps for additional customization.</p>
</li>
<li>
<p class=""no-margin"">Re-uses your default product.liquid Template file.</p>
</li>
<li>
<p class=""no-margin""><a href=""https://help.zipify.com/en/articles/4196323-creating-a-new-product-page-layout-zipify-pages"" target=""_blank"" class=""intercom-content-link"">More details on creating a new Product Page Layout with Zipify Pages</a></p>
</li>
</ol><p class=""no-margin"">Remember, when you publish a ""Product Page"" in Zipify Pages, you are actually publishing a Shopify Product Page Template for the selected product(s). Products are created and published in the ""Products"" section of your Shopify admin, not directly from the Zipify Pages app.</p>"
